Restaurant,Location,Export #,GUID,Business Day Cutoff Hour,Time Zone
California Dreaming,Augusta,118871,50ee1f12-58e4-41fe-a79c-fb7c857785a9,4,America/New_York
California Dreaming,Charleston,118894,8d5169ba-1d01-49d5-adb5-a46c341abefe,4,America/New_York
California Dreaming,Columbia,118911,0b367308-ee7e-477d-b384-5c0195add658,4,America/New_York
California Dreaming,Greenville,118919,a60c83dd-96df-4692-820c-4be8b57edfd0,4,America/New_York
California Dreaming,Spanish Fort,118932,9e35aea0-b734-4b45-8e08-a67e06a69105,4,America/Chicago
California Dreaming,Surfside Beach,118858,4e52f6f9-6d4a-48c4-80b0-b9c15afd203d,4,America/New_York
Carolina Roadhouse,,118865,263ff9b5-4cb2-43a7-88ea-816de6289307,4,America/New_York
Chophouse,,118959,7be3cff4-73fa-4d35-9719-bf0bf9843309,4,America/Chicago
Chophouse 47,,118810,f78f40eb-dcdd-4a21-887f-b1ed5d3f0cfc,4,America/New_York
Gulfstream Cafe,,118886,6a67c82b-c05f-4e5b-b7d4-bc327b050d50,4,America/New_York
Joey D's Oak Room,,118850,6f3acfdd-62bc-4253-b05a-4acff5e12103,4,America/New_York
New York Prime,Atlanta,118844,c03f4752-0df9-48f1-9afb-44d29ad83b50,4,America/New_York
New York Prime,Boca Raton,118971,bc438eec-0a63-434f-b426-85d9705ace24,4,America/New_York
New York Prime,Myrtle Beach,118873,ce8efb2a-e07b-4cb5-8e6b-0b2ff1e0e72e,4,America/New_York
